iter	Logloss
0	0.686376063
1	0.677816391
2	0.6712617238
3	0.663441213
4	0.65574646
5	0.6484127045
6	0.6404682159
7	0.6340725581
8	0.625359726
9	0.6173135122
10	0.6106395721
11	0.6052902222
12	0.5991879781
13	0.5948964437
14	0.5882068634
15	0.5821594874
16	0.5748844147
17	0.5699840546
18	0.5653690338
19	0.5612515767
20	0.5569708506
21	0.5522928874
22	0.5471340179
23	0.5399459839
24	0.5354863485
25	0.5296973546
26	0.5254594485
27	0.5193651199
28	0.5155535062
29	0.5099708239
30	0.5057223638
31	0.4995088577
32	0.495718956
33	0.4914780299
34	0.4861084938
35	0.4827447891
36	0.4796571732
37	0.4756433169
38	0.4723162333
39	0.4691734314
40	0.4665142059
41	0.4628192266
42	0.4591736476
43	0.4552549362
44	0.4517103831
45	0.448022906
46	0.4442946752
47	0.440127182
48	0.4366313616
49	0.4342369397
50	0.4306289037
51	0.4273269018
52	0.4255848567
53	0.4230384191
54	0.4201946894
55	0.4174787203
56	0.4136178335
57	0.4103195826
58	0.4072582563
59	0.4037104607
60	0.402154096
61	0.3996321996
62	0.397282664
63	0.3950136185
