iter	Passed	Remaining
0	1	4704
1	3	4509
2	4	4199
3	5	3916
4	6	3718
5	7	3642
6	8	3558
7	9	3507
8	10	3447
9	11	3407
10	12	3367
11	13	3335
12	15	3670
13	17	3725
14	19	3787
15	20	3789
16	21	3838
17	23	3921
18	25	3975
19	27	4104
20	30	4336
21	34	4606
22	35	4650
23	38	4717
24	40	4824
25	42	4835
26	43	4824
27	45	4815
28	47	4816
29	50	4969
30	51	4966
31	53	5007
32	55	5006
33	59	5221
34	62	5269
35	64	5316
36	66	5314
37	69	5414
38	71	5412
39	73	5435
40	75	5440
41	78	5511
42	79	5491
43	81	5457
44	82	5428
45	84	5396
46	85	5389
47	87	5368
48	88	5331
49	89	5299
50	91	5298
51	93	5276
52	94	5256
53	95	5222
54	97	5201
55	98	5201
56	100	5180
57	102	5201
58	104	5215
59	106	5223
60	109	5263
61	111	5262
62	113	5276
63	114	5269
